author,author_id
"Frost, W. H.",1
"Feldmann, F. M.",2
"Sutherland, I",3
"Waaler, H.",4
"Geser, A.",5
"Andersen, S.",6
"Subramaniam, M.",7
"Brogger, S.",8
"Ferebee, S. H.",9
"Juchniewicz, M.",10
"Olakowski, T.",11
"Mardon, K.",12
"ReVelle, C. S.",13
"Lynn, W. R.",14
"Feldmann, F.",15
"Waaler, H. T.",16
NA,17
"Styblo, K.",18
"Meijer, J.",19
"Sutherland, I.",20
"Piot, M. A.",21
"Revelle, C.",22
"Male, J.",23
"Chorba, R.W.",24
"Sanders, JL",25
"Endo, S.",26
"Aoki, K.",27
"Horwitz, O.",28
"Lotte, A.",29
"Uzan, J.",30
"Rusu, G",31
"de Ville de Goyet, C.",32
"Rouillon, A.",33
"Gothi, G. D.",34
"Baily, G. V.",35
"Nair, S. S.",36
"Azuma, Y.",37
"Rust, P.",38
"Thomas, J.",39
"Fayers, P. M.",40
"Galtung, O.",41
"Mordal, K.",42
"Chen, M. M.",43
"Bush, J. W.",44
"Rajalalkshmi, R.",45
"Svandova, E.",46
"Radhakrishna, S.",47
"Stevens, R. G.",48
"Lee, J. A. H.",49
"Sivaraman, V.",50
"Umasankar, V.",51
"McNeil, B. J.",52
"Thompson, M.",53
"Adelstein, S. J.",54
"Collins, J. J.",55
"Snider, D. E., Jr.",56
"Caras, G. J.",57
"Koplan, J. P.",58
"Schulzer, M.",59
"Enarson, D. A.",60
"Grzybowski, S.",61
"Hong, Y. P.",62
"Kim, S. J.",63
"Lin, T. P.",64
"Lee, H. L.",65
"Pierskalla, W. P.",66
"McGrath, J. W.",67
"Rose, D. N.",68
"Schechter, C. B.",69
"Fahs, M. C.",70
"Silver, A. L.",71
"Acocella, G.",72
"Comaschi, E.",73
"Nonis, A.",74
"Rossanigo, C.",75
"Migliori, G. B.",76
"Joesoef, M. R.",77
"Remington, P. L.",78
"Jiptoherijanto, P. T.",79
"Fitzgerald, J. M.",80
"Gafni, A.",81
"Nagelkerke, N. J.",82
"Plummer, F. A.",83
"Holton, D.",84
"Anzala, A. O.",85
"Manji, F.",86
"Ngugi, E. N.",87
"Moses, S.",88
"Balasangameshwara, V. H.",89
"Chakraborty, A. K.",90
"Chaudhuri, K.",91
"Bermejo, A.",92
"Veeken, H.",93
"Berra, A.",94
"Bloom, B. R.",95
"Murray, C. J.",96
"Heymann, S. J.",97
"Massad, Eduardo",98
"Burattini, Marcelo Nascimento",99
"Coutinho, Francisco Antonio Bezerra",100
"Yang, Hyung Mo",101
"Raimundo, Silvia Martorano",102
"Nettleman, M. D.",103
"de Jonghe, E.",104
"Chum, H. J.",105
"Nyangulu, D. S.",106
"Salomao, A.",107
"Dolin, P. J.",108
"Raviglione, M. C.",109
"Kochi, A.",110
"Nicas, M.",111
"Radhamani, M. P.",112
"Mak, E.",113
"Blower, S. M.",114
"McLean, A. R.",115
"Porco, T. C.",116
"Small, P. M.",117
"Hopewell, P. C.",118
"Sanchez, M. A.",119
"Moss, A. R.",120
"Masobe, P.",121
"Lee, T.",122
"Price, M.",123
"Mohle-Boetani, J. C.",124
"Miller, B.",125
"Halpern, M.",126
"Trivedi, A.",127
"Lessler, J.",128
"Solomon, S. L.",129
"Fenstersheib, M.",130
"Rieder, H. L.",131
"Antia, R.",132
"Koella, J. C.",133
"Perrot, V.",134
"Brewer, T. F.",135
"Colditz, G. A.",136
"Wilson, M. E.",137
"Auerbach, K.",138
"Kane, D.",139
"Fineberg, H. V.",140
"Moore, R. D.",141
"Chaulk, C. P.",142
"Griffiths, R.",143
"Cavalcante, S.",144
"Chaisson, R. E.",145
"Burman, W. J.",146
"Dalton, C. B.",147
"Cohn, D. L.",148
"Butler, J. R.",149
"Reves, R. R.",150
"Castillo-Chavez, C.",151
"Feng, Z.",152
"Foster, S.",153
"Godfrey-Faussett, P.",154
"Porter, J.",155
"Gammaitoni, L.",156
"Nucci, M. C.",157
"Garcia, A.",158
"Maccario, J.",159
"Richardson, S.",160
"Ettling, M.",161
"Lietman, T.",162
"Porco, T.",163
"Blower, S.",164
"Marcus, Alexander M.",165
"Rose, David N.",166
"Sacks, Henry S.",167
"Schechter, Clyde B.",168
"Geerdes, H.",169
"Roy, M. C.",170
"Salpeter, S. R.",171
"Sanders, G. D.",172
"Salpeter, E. E.",173
"Owens, D. K.",174
"Smith, P. J.",175
"Thompson, T. J.",176
"Jereb, J. A.",177
"Vynnycky, E.",178
"Fine, P. E.",179
"West, R. W.",180
"Thompson, J. R.",181
"Gerberding, J. L.",182
"Dye, C.",183
"Garnett, G. P.",184
"Sleeman, K.",185
"Williams, B. G.",186
"Fennelly, K. P.",187
"Nardell, E. A.",188
"Lipsitch, M.",189
"Levin, B. R.",190
