ris_type,type,paper_id,title,date,abstract,volume,isbn,pages,url,journal
JOUR,article,769,How Much Control of Tuberculosis?,1937-01-01,"Frost, W H",27,0002-9572 (Print),759-66,http://www.ncbi.nlm.nih.gov/pubmed/18014673,Am J Public Health Nations Health
JOUR,article,760,How much control of tuberculosis: 1937-1957-1977,1957-01-01,"FELDMANN, F M",47,0002-9572 (Print),1235-41,http://www.ncbi.nlm.nih.gov/pubmed/13458543,Am J Public Health Nations Health
JOUR,article,972,An estimation of the scope for BCG vaccination in preventing tuberculosis among those aged 15–19 years in England and Wales at the present time,1959-01-01,"The second report of the Medical Research Council trial of tuberculosis vaccines in adolescents (Medical Research Council, 1959) contained an estimate of the benefit to be expected from BCG vaccination. If all those tuberculin-negative on entry to the trial in 1950–52, at the age of 14 years, had been vaccinated with BCG, the reduction in the incidence of tuberculosis in the ensuing five years would have been 59 per cent.The present study, by taking into account the recent decrease in risk of exposure to tuberculous infection in England and Wales, provides similar estimates of the scope for BCG vaccination, which are more up to date and also applicable to the whole country.Of the tuberculosis notifications among those aged 15–19 years in England and Wales in 1958, it is estimated that 52 per cent could have been prevented by BCG vaccination at the age of 14 years of all who were then tuberculin-negative. This estimate for 1958 is compared with that for 1953, which was 60 per cent. There has thus been a moderate decline in the scope for BCG vaccination during these five years. If the trend in exposure to tuberculous infection continues, BCG vaccination of all tuberculin-negative children who are aged 14 years now (1959) would apparently reduce the incidence when they become 15–19 years of age by rather less than half.In terms of the numbers of cases preventable by BCG vaccination of children aged 14 years, the scope has declined very considerably, from about 2,950 notifications among those aged 15–19 years in 1953, to 1,400 in the same age group in 1958. We may in a few years reach a situation in this country in which mass vaccination of older school children prevents only small numbers of cases of tuberculosis in adolescents. If, however, the protection from vaccination is maintained, cases will also be prevented in those aged 20 years and over.It is estimated that the official scheme for BCG vaccination at the age of 13 years, which started at the end of 1953, reduced the numbers of notifications at ages 15–19 years in England and Wales by 50 in 1956, 156 in 1957 and 241 in 1958. These small numbers are due to incomplete coverage of the 15–19 year age group in these years and the slow development of the scheme.It is suggested that a central bureau should be established to collect and interpret the information in connexion with the official vaccination scheme. This could make a valuable contribution to the eradication of tuberculosis from this country. ",40,NA,413-24,http://www.sciencedirect.com/science/article/pii/S0041387959800969,Tubercle and Lung Disease
JOUR,article,1002,The use of mathematical models in the study of the epidemiology of tuberculosis,1962-01-01,"WAALER, H",52,0002-9572 (Print),1002-13,http://www.ncbi.nlm.nih.gov/pubmed/14004185,Am J Public Health Nations Health
JOUR,article,971,Mathematical approach to the study of tuberculin sensitivity,1965-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Infection with tubercle bacilli Descript epi: infection TBN testing - interpretation",12,NA,101-110,NA,Indian J Tuberc
JOUR,article,677,Systems analysis in tuberculosis control: a model,1967-01-01,"Brogger, S",95,0003-0805 (Print),419-34,http://www.ncbi.nlm.nih.gov/pubmed/6018702,Am Rev Respir Dis
JOUR,article,764,An epidemiological model of tuberculosis in the United States,1967-01-01,"IN FILE TB Transmission, pathogenesis, and epidemiology Infection with tubercle bacilli Predict epi of morbidity: prospects for the epidemic",53,NA,4-7,file://C:\literature_pdf\rm14754.pdf,Nat.Tuberc.Assoc.Bull.
JOUR,article,821,"[Prognostication of the epidemiological situation of tuberculosis, based on an epidemiological model (Preliminary report)]",1967-01-01,"Juchniewicz, M Olakowski, T Mardon, K Poland Gruzlica i choroby pluc; tuberculosis et pneumonologia Gruzlica. 1967;35(10):961-7.",35,0017-4955 (Print) 0017-4955 (Linking),961-967,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=5582655,Gruzlica i Choroby Pluc
JOUR,article,923,Mathematical models for the economic allocation of tuberculosis control activities in developing nations,1967-01-01,"The regional management of tuberculosis in developing nations is studied utilizing the tools of systems analysis. A tuberculosis system is visualized, the system being made up of components which are the epidemiological categories that characterize the disease. The interaction of these components determines the future state of the disease. Controls in the form of therapy, vaccinations, or prophylaxis may be superimposed on the natural processes, thus altering the future course of the disease. A descriptive mathematical model describing the flows between the various categories can be used to predict the trends both with and without intervention. An optimization model is derived from the descriptive model under the assumption that a program of reproduction of active cases has been specified. The optimization model would be used to select the forms of control which achieve the specified reduction program at least cost. Optimization is accomplished via linear programming.",96,0003-0805 (Print),893-909,NA,Am Rev Respir Dis
JOUR,article,1004,Cost-benefit analysis of BCG-vaccination under various epidemiological situations,1968-01-01,"Waaler, H T",41,0074-9249 (Print),42-52,http://www.ncbi.nlm.nih.gov/pubmed/5710260,Bull Int Union Tuberc
JOUR,article,1005,A dynamic model for the epidemiology of tuberculosis,1968-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Tuberculosis Predict epi of morbidity: prospects for the epidemic",98,NA,591-600,Printout in Models Box 1 (In EndNote no PDF),American Review of Respiratory Disease
BILL,misc,782,[A statistical model for evaluating the activity of minor forms of pulmonary tuberculosis],1969-01-01,NA,47,NA,59-64,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=4904991,Probl Tuberk
JOUR,article,970,The transmission of tubercle bacilli - its trend in a human population. Tuberculosis Surveillance Research Unit Report No. 1,1969-01-01,"TY - JOUR TB Transmission, pathogenesis, and epidemiology Infection with tubercle bacilli Etiol epi: risk of infection Risk of infection - models L1 - file://C:\literature_pdf\rm00302.pdf",42,NA,1-104,NA,NA
JOUR,article,1008,The use of an epidemiological model for estimating the effectiveness of tuberculosis control measures. Sensitivity of the effectiveness of tuberculosis control measures to the coverage of the population,1969-01-01,"Given an adequate definition of the disease problem in epidemiological terms, it is possible to measure the epidemiological effectiveness of control measures in terms of problem reduction. This is to be distinguished from the clinical efficacy of the same measures. The practical difficulty in assessing the epidemiological effectiveness of control measures experimentally can be overcome by the construction of simulation models and the use of computers, whereby the problem reduction associated with various control strategies can be estimated numerically.By varying the levels of certain parameters of the model systematically, the sensitivity of the effectiveness of control measures to the epidemiological, operational, clinical and social parameters of a situation can be assessed. A series of articles analysing this relationship is under preparation. This first article analyses the sensitivity of the effectiveness of BCG vaccination and of the chemotherapy of tuberculosis to changes in the coverage of the eligible population groups. A previously formulated postulate stating that the marginal effectiveness of these measures decreases as their coverage increases is validated by this first series of simulations. The significance of this finding for planning national tuberculosis control strategies is discussed, as well as possible bias in the method applied.",41,0042-9686 (Print),75-93,http://www.ncbi.nlm.nih.gov/pubmed/5309169,Bull World Health Organ
JOUR,article,922,A mathematical model for determining case finding and treatment activities in tuberculosis control programs,1970-01-01,"Revelle, C",102,0003-0805 (Print),403-11,NA,Am Rev Respir Dis
JOUR,article,1006,Model simulation and decision-making in tuberculosis programmes,1970-01-01,"Waaler, H T",43,0074-9249 (Print),337-44,NA,Bull Int Union Tuberc
JOUR,article,1009,Use of an epidemiological model for estimating the effectiveness of tuberculosis control measures. Sensitivity of the effectiveness of tuberculosis control measures to the social time preference,1970-01-01,"Different combinations of coverage levels of BCG vaccination and of case-finding and treatment may achieve the same problem reduction in epidemiological terms. But the same problem reduction, in man-years of tuberculosis, may be valued differently in social terms.A social-time-preference parameter, of the form 1/(1+r)(t), is relevant to this evaluation and the level of r is critical for policy decision. The present paper studies the sensitivity of the effectiveness of BCG vaccination and of case-finding and treatment to the level of r, and the epidemiological mechanism underlying such sensitivity. A high value of r can be visualized as corresponding to a close planning horizon, a lower value of r to a more distant one. At any level of epidemiological effectiveness, a planner with a high value of r would favour case-finding and treatment, and a planner with a low value of r would tend to emphasize BCG vaccination. This influence of the social-time-preference parameter on the planner's decision is found to depend on the discounting effect of the parameter on the one hand, and on the different age- and time-patterns of the preventive effect of the major control measures, on the other.",43,0042-9686 (Print),1-16,NA,Bull World Health Organ
JOUR,article,694,Planning models for tuberculosis control programs,1971-01-01,NA,6,NA,144,http://pubmedcentralcanada.ca/picrender.cgi?accid=PMC1067333&blobtype=pdf,Health Services Research
